Position X,Position Y,mPD
821089.8277,834826.68,8.5
821259.248,834957.2794,8.33
821220.69,834972.2863,8.19
821260.0901,834984.4058,7.95
821295.6315,834697.9671,6.07
821272.07,835039.2398,5.52
821296.7059,835064.7957,5.5
821278.5879,835046.044,5.5
821289.896,835057.7,5.48
821276.0091,835043.3875,5.48
821293.1211,835061.0881,5.47
821282.1342,835049.7179,5.47
821286.017,835053.7655,5.46
821329.8647,835104.2432,5.45
821341.5127,835119.2617,5.44
821310.2243,835079.8422,5.43
821335.9844,835112.1357,5.43
821344.5843,835123.2429,5.43
821323.5147,835096.0876,5.43
821326.6379,835100.0098,5.43
821306.8582,835075.9073,5.42
821332.8051,835108.0561,5.42
821300.4132,835068.6243,5.42
821303.5628,835072.1561,5.41
821314.77,835085.2114,5.41
821318.6199,835089.9249,5.4
821320.8352,835092.709,5.4
821245.691,834832.514,5.28
821270.5788,834732.2395,5.26
821285.2108,834721.8755,5.25
821274.1454,834729.8142,5.25
821277.612,834727.0888,5.24
821281.3614,834724.6322,5.24
821323.303,834695.0048,5.24
821288.7703,834719.5563,5.23
821300.9074,834710.7382,5.22
821292.3297,834717.037,5.22
821305.9705,834707.097,5.16
821326.5148,834692.4651,5.14
821315.2931,834699.9852,5.14
821312.715,834702.1891,5.12
821310.1369,834703.9929,5.11
821301.088,834914.017,5.07
821100.7027,834810.7098,4.97
821263.32,834881.07,4.96
821257.159,834869.977,4.92
821279.548,834901.804,4.87
821279.906,834735.8756,4.84
821276.6051,834738.3127,4.82
821105.6793,834808.5353,4.82
821258.5496,834721.4519,4.8
821268.3396,834740.3048,4.79
821259.854,834873.99,4.78
821248.2163,834725.5282,4.77
821284.3574,834732.3504,4.77
821255.4642,834719.7502,4.77
821330.3647,834688.4433,4.76
821075.501,834827.4402,4.75
821252.1787,834717.8485,4.74
821212.771,834774.0617,4.74
821217.175,834772.3779,4.74
821226.9602,834765.9763,4.74
821247.7755,834755.2227,4.73
821234.2765,834766.0463,4.73
821244.7586,834721.5903,4.73
821243.28,834829.36,4.73
821230.0702,834767.6222,4.73
821221.5067,834770.8927,4.73
821225.8385,834769.2074,4.73
821099.0212,834806.3701,4.73
821247.5954,834761.1454,4.72
